workbook name,S0 D4 Example Spreadsheets.xlsx,,,,,,,,,,,
worksheet name,Construction 3,,,,,,,,,,,
table code,BCAA,,,,,,,,,,,
table name,"Table 6: Value of construction output in Great Britain: current prices, non seasonally adjusted - by region",,,,,,,,,,,
Series Ids,NORTH EAST New Housing Public,NORTH EAST New Housing Private,NORTH EAST Other New Work Infras- tructure,NORTH EAST Other New Work Excluding Infrastructure Public,NORTH EAST Other New Work Excluding Infrastructure Private Industrial,NORTH EAST Other New Work Excluding Infrastructure Private Commercial,NORTH EAST Repair and Maintenance Housing,NORTH EAST Repair and Maintenance Other Work Public,NORTH EAST Repair and Maintenance Other Work Private,NORTH EAST Repair and Maintenance Infras- tructure,NORTH EAST All Repair and Maintenance,NORTH EAST All Work
2010 Q2,40,176,58,165,54,197,160,38,48,44,292,981
2010 Q3,48,206,60,171,64,215,159,39,58,33,289,1054
2010 Q4,50,218,60,147,48,190,203,49,47,29,329,1041
2011 Q1,48,198,75,132,40,174,177,52,57,40,326,993
2011 Q2,40,207,91,122,44,177,152,36,61,36,285,967
2011 Q3,30,178,114,125,49,205,119,42,76,46,282,983
2011 Q4,22,145,164,111,57,206,103,28,67,32,230,935
2012 Q1,12,124,151,102,72,180,105,22,66,43,236,878
2012 Q2,9,131,150,104,80,202,105,25,69,52,251,927
2012 Q3,6,140,158,108,79,206,101,27,78,43,250,947
2012 Q4,7,167,153,91,67,204,101,23,75,41,241,930
2013 Q1,9,154,134,69,47,193,109,27,69,39,245,852
2013 Q2,23,196,154,66,33,230,149,25,76,45,294,997
2013 Q3,37,186,158,73,29,280,187,23,68,38,318,1082
2013 Q4,53,189,177,75,48,274,186,22,49,49,303,1119
2014 Q1,62,162,177,82,73,254,145,20,53,55,272,1082
2014 Q2,78,191,191,100,104,240,132,17,72,52,272,1176
