qualsgroup,location,count
3,D10108S2S,7080
5,A10207S1S,4687
3,A10204C2C,5104
6,E06000047,5464
3,E06000002,5097
X,A10513S1S,7081
5,A10110S1S,6523
6,A10403S1S,2802
2,A10204SAS,1931
5,G11210S1S,5050
6,A10108S1S,9377
Y,A10504S1S,8788
1,A10505S1S,369
4,A10203C2C,7341
3,A10507S1S,9983
2,A10204C1C,865
6,A10512S1S,755
Y,A10514C2C,1930
6,A10303S1S,3369
2,A10107S2S,1600
2,E08000021,8692
4,E08000020,9033
Y,A10101S2S,7403
4,A10209C2C,5919
6,E06000001,18
5,A10103C1C,5785
2,E06000004,9360
1,A10103S2S,4698
Y,A10514C1C,2456
X,A10519S1S,3309
2,X99999X1X,5593
3,A10207C1C,251
6,A10514S2S,2277
2,E06000005,9157
Y,A10103S1S,5572
Y,A10109C1C,695
1,A10107C1C,9202
2,A10519C1C,8360
4,A10103S2S,8189
6,A10105C1C,5708
Y,A10103C2C,4211
X,A10513C1C,4089
1,A10102S2S,9126
Y,A10313S1S,239
1,A10209C2C,5894
1,E08000020,1310
X,A10504S1S,5136
2,A10205S1S,8545
3,A10209C1C,9608
Y,A10513S1S,5111
2,A10508S1S,7229
1,A10203C2C,5222
5,A10105S1S,2387
X,A10514C2C,6322
4,A10505S1S,7231
3,A10513C2C,9703
3,A10204S1S,8465
2,A10108C1C,462
2,A10311C1C,9749
X,A10101S2S,56
3,A10110C1C,8173
3,A10211S1S,4987
Y,A10519S1S,9033
6,A10514C4C,6659
X,A10514C1C,6162
6,E06000048,3457
1,A10109S1S,2386
6,A10517S1S,9065
2,D10109S1S,6386
4,A10106S1S,9210
3,A10304S1S,7804
2,A10204SBS,4413
6,E08000023,2262
X,A10103S1S,1233
1,E08000022,5432
6,A10107S2S,8770
4,D10109S2S,7922
X,A10516S1S,6634
2,A10512S1S,769
2,A10303S1S,1317
6,A10204C1C,30
3,A10514S1S,5900
5,A10106S1S,9480
6,E08000021,2327
5,A10505S1S,99
4,A10105S1S,5768
X,A10203S1S,179
1,G11210S1S,8965
6,E06000004,2448
X,E12000001,2268
X,E08000024,3234
2,E06000001,2229
X,A10310C1C,1395
1,A10110S1S,4651
6,E06000005,8428
2,A10514S2S,6555
X,A10103C3C,9186
6,X99999X1X,2053
3,A10511S1S,9044
1,A10505S2S,8294
4,A10102S1S,4923
2,E06000047,4458
3,A10107S1S,6606
X,A10315S1S,3559
5,A10103S2S,2915
1,A10317S1S,3129
1,A10103C1C,5287
2,A10403S1S,5455
6,A10204SAS,5070
6,A10108C1C,1080
4,A10103C1C,6802
3,B11107S1S,1531
Y,A10516S1S,7061
2,A10209C3C,9771
Y,A10505C1C,9274
5,A10107C1C,745
2,A10517S1S,7134
5,A10203C2C,973
Y,A10310C1C,2193
2,E06000048,5992
Y,E08000024,3463
3,A10505C2C,5284
Y,E12000001,8255
1,A10102S1S,6871
Y,A10103C3C,764
5,E08000020,7547
4,A10505S2S,9355
6,A10204SBS,2998
2,E08000023,2013
3,A10501S1S,3455
6,D10109S1S,2340
6,A10519C1C,9740
4,A10207S1S,380
3,E06000003,5172
4,A10110S1S,8264
3,A10203C1C,8485
3,A10514C3C,5600
2,A10105C1C,2549
4,G11210S1S,7413
1,A10105S1S,2758
Y,A10315S1S,3699
5,A10109S1S,8643
6,A10205S1S,2466
6,A10508S1S,4032
3,A10102C1C,4304
3,A10204C3C,1396
3,A10309S1S,3544
,A10514S2S,38224
,A10204C1C,35149
,A10310C1C,36165
,A10103C1C,35158
,A10309S1S,31036
,A10101S2S,30949
,A10103C2C,33190
,A10207S1S,19691
,E08000024,34736
,E06000048,26783
,A10505C1C,25813
,A10303S1S,24466
,A10204SAS,34187
,A10109C1C,33145
,A10204S1S,43817
,E06000002,38283
,A10512S1S,24734
,A10511S1S,26710
,A10204SBS,24343
,A10519S1S,24710
,E08000020,42139
,A10110C1C,34736
,A10109S1S,30134
,A10209C3C,15427
,A10102S2S,36945
,A10517S1S,47220
,A10103S2S,30178
,X99999X1X,40726
,E08000022,44329
,A10105S1S,46582
,E08000021,50982
,D10109S2S,18745
,A10505S1S,27321
,E06000003,47179
,A10505C2C,53646
,A10203C2C,35596
,A10209C1C,28364
,A10108S1S,34609
,E06000047,44718
,A10204C3C,25889
,A10102S1S,30422
,A10106S1S,63592
,A10110S1S,44298
,B11107S1S,20897
,A10501S1S,32981
,A10513C1C,36839
,D10109S1S,49902
,A10311C1C,25697
,A10103C3C,40508
,A10513C2C,44528
,A10516S1S,46771
,A10315S1S,33295
,A10108C1C,38218
,A10103S1S,40145
,A10209C2C,36620
,A10514C3C,43624
,A10504S1S,41486
,E12000001,37750
,A10102C1C,31101
,A10317S1S,18786
,A10514C1C,39969
,E06000001,21330
,A10313S1S,27644
,A10204C2C,36183
,A10107S2S,34130
,A10508S1S,30448
,E06000004,44208
,A10514C2C,30780
,A10514S1S,36128
,E06000005,50539
,E08000023,37939
,A10107C1C,45338
,A10513S1S,29888
,G11210S1S,50149
,A10211S1S,42367
,A10205S1S,42000
,A10107S1S,30497
,A10505S2S,37436
,A10104S1S,19189
,D10108S2S,34059
,A10507S1S,46241
,A10519C1C,57110
,A10203S1S,23941
,A10203C1C,32259
,A10304S1S,44378
,A10207C1C,25254
,A10403S1S,35718
,A10105C1C,35554
,A10514C4C,36532
,,37750
,,3133672
,,3171422
,,3171422
1,,379698
3,,382
3,,448701
1,,9433
6,,362568
Y,,412559
4,,427013
2,,8830
X,,2268
5,,1755
X,,346158
2,,397891
5,,359084
6,,6823
4,,4
Y,,8255
5,,360839
6,,369391
Y,,420814
4,,427017
3,,449083
1,,389131
X,,348426
2,,406721
1,,389131
X,,348426
2,,406721
6,,369391
Y,,420814
4,,427017
5,,360839
3,,449083
