agegroup5yr,location,count
8,A10105S1S,746
2,A10105S1S,8039
3,A10105S1S,5096
10,A10105S1S,7808
7,A10105S1S,3288
19,A10105S1S,8591
14,A10105S1S,716
18,A10105S1S,2152
6,A10105S1S,7838
9,A10105S1S,9021
5,A10105S1S,6133
16,A10105S1S,8758
11,A10105S1S,8311
12,A10105S1S,7923
15,A10105S1S,2819
1,A10105S1S,6491
13,A10105S1S,2593
17,A10105S1S,3026
4,A10105S1S,2376
,A10106S1S,75517
8,A10106S1S,899
6,A10106S1S,3407
18,A10106S1S,2775
14,A10106S1S,3959
19,A10106S1S,2511
7,A10106S1S,2757
3,A10106S1S,2695
10,A10106S1S,1289
2,A10106S1S,760
12,A10106S1S,3556
9,A10106S1S,5203
11,A10106S1S,9521
16,A10106S1S,7241
5,A10106S1S,8681
4,A10106S1S,7724
13,A10106S1S,4208
17,A10106S1S,5451
1,A10106S1S,2582
15,A10106S1S,298
,A10107C1C,80486
8,A10107C1C,3540
14,A10107C1C,7992
19,A10107C1C,5921
7,A10107C1C,5845
18,A10107C1C,821
6,A10107C1C,159
3,A10107C1C,288
10,A10107C1C,4082
2,A10107C1C,6483
12,A10107C1C,2068
9,A10107C1C,6792
16,A10107C1C,7901
11,A10107C1C,6299
5,A10107C1C,2786
4,A10107C1C,1084
13,A10107C1C,3633
17,A10107C1C,419
15,A10107C1C,9436
1,A10107C1C,4937
,A10107S1S,98826
4,A10107S1S,9053
13,A10107S1S,8012
17,A10107S1S,4689
1,A10107S1S,8331
15,A10107S1S,1620
12,A10107S1S,5625
9,A10107S1S,5102
16,A10107S1S,666
11,A10107S1S,7885
5,A10107S1S,7020
6,A10107S1S,1912
18,A10107S1S,2145
14,A10107S1S,8041
19,A10107S1S,9345
7,A10107S1S,8219
3,A10107S1S,1106
10,A10107S1S,2534
2,A10107S1S,4697
8,A10107S1S,2824
,A10107S2S,100082
9,A10107S2S,6284
5,A10107S2S,9225
11,A10107S2S,2681
16,A10107S2S,4191
12,A10107S2S,972
1,A10107S2S,8992
15,A10107S2S,5595
13,A10107S2S,8673
17,A10107S2S,1302
4,A10107S2S,8657
8,A10107S2S,3093
2,A10107S2S,8619
3,A10107S2S,8614
10,A10107S2S,4443
18,A10107S2S,2001
6,A10107S2S,1283
7,A10107S2S,1387
19,A10107S2S,5726
14,A10107S2S,8344
,A10108C1C,91980
9,A10108C1C,4160
5,A10108C1C,4759
11,A10108C1C,8167
16,A10108C1C,3235
12,A10108C1C,6195
15,A10108C1C,7798
1,A10108C1C,9711
13,A10108C1C,3348
17,A10108C1C,5006
4,A10108C1C,445
8,A10108C1C,3432
2,A10108C1C,9293
3,A10108C1C,5317
10,A10108C1C,1765
7,A10108C1C,1143
19,A10108C1C,9476
14,A10108C1C,1194
18,A10108C1C,6759
6,A10108C1C,777
,A10108S1S,84430
12,A10108S1S,8238
16,A10108S1S,5454
11,A10108S1S,7453
5,A10108S1S,6896
9,A10108S1S,947
17,A10108S1S,1532
13,A10108S1S,5463
4,A10108S1S,8711
1,A10108S1S,6809
15,A10108S1S,551
8,A10108S1S,2353
6,A10108S1S,2911
18,A10108S1S,5283
19,A10108S1S,2414
7,A10108S1S,1545
14,A10108S1S,7479
2,A10108S1S,4380
10,A10108S1S,1360
3,A10108S1S,4651
,A10109C1C,109749
14,A10109C1C,7652
7,A10109C1C,7937
19,A10109C1C,4889
6,A10109C1C,9191
18,A10109C1C,3902
10,A10109C1C,9714
3,A10109C1C,6348
2,A10109C1C,9854
8,A10109C1C,2799
4,A10109C1C,4930
17,A10109C1C,3971
13,A10109C1C,4960
15,A10109C1C,6293
1,A10109C1C,3012
12,A10109C1C,4718
5,A10109C1C,963
16,A10109C1C,6660
11,A10109C1C,9919
9,A10109C1C,2037
,A10109S1S,75052
8,A10109S1S,5570
19,A10109S1S,5102
7,A10109S1S,8883
14,A10109S1S,5158
6,A10109S1S,1611
18,A10109S1S,1370
2,A10109S1S,3726
10,A10109S1S,387
3,A10109S1S,8059
12,A10109S1S,1942
16,A10109S1S,6248
11,A10109S1S,7440
5,A10109S1S,1177
9,A10109S1S,1112
17,A10109S1S,1014
13,A10109S1S,790
4,A10109S1S,620
15,A10109S1S,7335
1,A10109S1S,7508
,A10110C1C,112391
15,A10110C1C,5069
1,A10110C1C,8076
4,A10110C1C,3842
17,A10110C1C,9921
13,A10110C1C,4
5,A10110C1C,9076
11,A10110C1C,9643
16,A10110C1C,2573
9,A10110C1C,6444
12,A10110C1C,5411
10,A10110C1C,3146
3,A10110C1C,7242
2,A10110C1C,8781
14,A10110C1C,1723
7,A10110C1C,8983
19,A10110C1C,8162
18,A10110C1C,945
6,A10110C1C,7862
8,A10110C1C,5488
,A10110S1S,106855
8,A10110S1S,2862
10,A10110S1S,2261
3,A10110S1S,3790
2,A10110S1S,5621
18,A10110S1S,8263
6,A10110S1S,6430
14,A10110S1S,3759
19,A10110S1S,9621
7,A10110S1S,7710
16,A10110S1S,6924
11,A10110S1S,8871
5,A10110S1S,5875
9,A10110S1S,544
12,A10110S1S,3997
1,A10110S1S,7866
15,A10110S1S,9039
4,A10110S1S,727
17,A10110S1S,4822
13,A10110S1S,7873
,A10203C1C,98808
4,A10203C1C,5402
17,A10203C1C,9087
13,A10203C1C,2867
15,A10203C1C,6591
1,A10203C1C,9472
12,A10203C1C,5022
5,A10203C1C,3688
16,A10203C1C,277
11,A10203C1C,48
9,A10203C1C,6099
14,A10203C1C,8406
7,A10203C1C,4170
19,A10203C1C,9955
18,A10203C1C,5610
6,A10203C1C,3422
10,A10203C1C,3286
3,A10203C1C,2514
2,A10203C1C,6401
8,A10203C1C,6491
,A10203C2C,82150
8,A10203C2C,7671
14,A10203C2C,2420
7,A10203C2C,2710
19,A10203C2C,2430
6,A10203C2C,9988
18,A10203C2C,3188
10,A10203C2C,2074
3,A10203C2C,2336
2,A10203C2C,1427
12,A10203C2C,6977
5,A10203C2C,8602
16,A10203C2C,4374
11,A10203C2C,2863
9,A10203C2C,8972
4,A10203C2C,2169
17,A10203C2C,381
13,A10203C2C,9325
15,A10203C2C,2055
1,A10203C2C,2188
,A10203S1S,120649
3,A10203S1S,4224
10,A10203S1S,7669
2,A10203S1S,7569
14,A10203S1S,9710
7,A10203S1S,6410
19,A10203S1S,7966
6,A10203S1S,9612
18,A10203S1S,3622
8,A10203S1S,9100
15,A10203S1S,7388
1,A10203S1S,7961
4,A10203S1S,5033
13,A10203S1S,9661
17,A10203S1S,1372
9,A10203S1S,3644
5,A10203S1S,324
11,A10203S1S,8815
16,A10203S1S,4495
12,A10203S1S,6074
,A10204C1C,68622
9,A10204C1C,1317
5,A10204C1C,3311
16,A10204C1C,4950
11,A10204C1C,6238
12,A10204C1C,9205
1,A10204C1C,1876
15,A10204C1C,3503
13,A10204C1C,7579
17,A10204C1C,2513
4,A10204C1C,4036
8,A10204C1C,5127
2,A10204C1C,402
3,A10204C1C,2189
10,A10204C1C,6586
6,A10204C1C,2410
18,A10204C1C,1281
7,A10204C1C,3136
19,A10204C1C,1205
14,A10204C1C,1758
,A10204C2C,86023
1,A10204C2C,793
15,A10204C2C,451
13,A10204C2C,361
17,A10204C2C,7949
4,A10204C2C,9210
9,A10204C2C,2478
16,A10204C2C,1094
11,A10204C2C,4165
5,A10204C2C,2518
12,A10204C2C,144
2,A10204C2C,7863
3,A10204C2C,8834
10,A10204C2C,7000
18,A10204C2C,6158
6,A10204C2C,2915
19,A10204C2C,542
7,A10204C2C,9988
14,A10204C2C,7229
8,A10204C2C,6331
,A10204C3C,95697
4,A10204C3C,78
13,A10204C3C,9266
17,A10204C3C,5155
15,A10204C3C,4681
1,A10204C3C,1315
12,A10204C3C,2411
9,A10204C3C,788
5,A10204C3C,8998
16,A10204C3C,7472
11,A10204C3C,8884
14,A10204C3C,2872
7,A10204C3C,6729
19,A10204C3C,8770
6,A10204C3C,612
18,A10204C3C,827
3,A10204C3C,9455
10,A10204C3C,9559
2,A10204C3C,879
8,A10204C3C,6946
,A10204S1S,76010
15,A10204S1S,1460
1,A10204S1S,8743
4,A10204S1S,3555
17,A10204S1S,1299
13,A10204S1S,3704
11,A10204S1S,7627
16,A10204S1S,6331
5,A10204S1S,4755
9,A10204S1S,1457
12,A10204S1S,4782
10,A10204S1S,1677
3,A10204S1S,2605
2,A10204S1S,5421
14,A10204S1S,7448
19,A10204S1S,7079
7,A10204S1S,2316
6,A10204S1S,376
18,A10204S1S,2201
8,A10204S1S,3174
,A10204SAS,114324
11,A10204SAS,7420
16,A10204SAS,3821
5,A10204SAS,8667
9,A10204SAS,8559
12,A10204SAS,6295
1,A10204SAS,358
15,A10204SAS,6881
4,A10204SAS,7335
17,A10204SAS,8547
13,A10204SAS,5623
8,A10204SAS,6921
10,A10204SAS,3616
3,A10204SAS,549
2,A10204SAS,2676
18,A10204SAS,7512
6,A10204SAS,6467
14,A10204SAS,8951
19,A10204SAS,5077
7,A10204SAS,9049
,A10204SBS,85895
16,A10204SBS,1141
11,A10204SBS,174
5,A10204SBS,819
9,A10204SBS,9426
12,A10204SBS,3927
15,A10204SBS,5509
1,A10204SBS,5698
17,A10204SBS,3458
13,A10204SBS,6680
4,A10204SBS,6827
8,A10204SBS,9484
2,A10204SBS,5499
10,A10204SBS,4114
3,A10204SBS,4991
19,A10204SBS,9203
7,A10204SBS,740
14,A10204SBS,436
18,A10204SBS,4465
6,A10204SBS,3304
,A10205S1S,111110
16,A10205S1S,6606
11,A10205S1S,7717
5,A10205S1S,4567
9,A10205S1S,3822
12,A10205S1S,5437
15,A10205S1S,4115
1,A10205S1S,3805
4,A10205S1S,6782
17,A10205S1S,9190
13,A10205S1S,4454
8,A10205S1S,8915
10,A10205S1S,987
3,A10205S1S,7016
2,A10205S1S,4142
14,A10205S1S,7275
19,A10205S1S,6091
7,A10205S1S,7367
6,A10205S1S,9332
18,A10205S1S,3490
,A10207C1C,87756
1,A10207C1C,6603
15,A10207C1C,5758
4,A10207C1C,373
13,A10207C1C,4408
17,A10207C1C,6219
9,A10207C1C,434
5,A10207C1C,4790
16,A10207C1C,8037
11,A10207C1C,5985
12,A10207C1C,4881
3,A10207C1C,5049
10,A10207C1C,4036
2,A10207C1C,4695
18,A10207C1C,382
6,A10207C1C,7634
14,A10207C1C,2527
7,A10207C1C,6864
19,A10207C1C,4607
8,A10207C1C,4474
,A10207S1S,98724
8,A10207S1S,1550
10,A10207S1S,7673
3,A10207S1S,5154
2,A10207S1S,9000
18,A10207S1S,8268
6,A10207S1S,1220
14,A10207S1S,194
7,A10207S1S,8593
19,A10207S1S,6414
5,A10207S1S,4470
16,A10207S1S,2783
11,A10207S1S,9719
9,A10207S1S,4209
12,A10207S1S,3410
1,A10207S1S,6809
15,A10207S1S,1847
4,A10207S1S,5112
17,A10207S1S,3202
13,A10207S1S,9097
,A10209C1C,90686
15,A10209C1C,1727
1,A10209C1C,3370
13,A10209C1C,3507
17,A10209C1C,9370
4,A10209C1C,5929
9,A10209C1C,9255
5,A10209C1C,9972
16,A10209C1C,1469
11,A10209C1C,1990
12,A10209C1C,8043
2,A10209C1C,8960
3,A10209C1C,2936
10,A10209C1C,731
7,A10209C1C,4953
19,A10209C1C,7286
14,A10209C1C,2006
6,A10209C1C,2331
18,A10209C1C,3249
8,A10209C1C,3602
,A10209C2C,110468
8,A10209C2C,9680
14,A10209C2C,1246
19,A10209C2C,7752
7,A10209C2C,5642
6,A10209C2C,9984
18,A10209C2C,3768
10,A10209C2C,1775
3,A10209C2C,7092
2,A10209C2C,2143
12,A10209C2C,9654
16,A10209C2C,7892
11,A10209C2C,2314
5,A10209C2C,4777
9,A10209C2C,1823
4,A10209C2C,5162
17,A10209C2C,9874
13,A10209C2C,9484
15,A10209C2C,2501
1,A10209C2C,7905
,A10209C3C,82120
12,A10209C3C,7077
9,A10209C3C,2278
16,A10209C3C,5450
11,A10209C3C,6998
5,A10209C3C,1242
4,A10209C3C,4878
13,A10209C3C,2376
17,A10209C3C,1905
15,A10209C3C,221
1,A10209C3C,4315
8,A10209C3C,2800
14,A10209C3C,3310
19,A10209C3C,3449
7,A10209C3C,8976
6,A10209C3C,4104
18,A10209C3C,4563
3,A10209C3C,2094
10,A10209C3C,6362
2,A10209C3C,9722
,A10211S1S,87661
15,A10211S1S,6359
1,A10211S1S,5027
4,A10211S1S,2017
13,A10211S1S,3265
17,A10211S1S,971
9,A10211S1S,6556
11,A10211S1S,5021
16,A10211S1S,4617
5,A10211S1S,6664
12,A10211S1S,6146
3,A10211S1S,4404
10,A10211S1S,1187
2,A10211S1S,5553
14,A10211S1S,8498
19,A10211S1S,4313
7,A10211S1S,2041
18,A10211S1S,1495
6,A10211S1S,7972
8,A10211S1S,5555
,A10303S1S,102664
12,A10303S1S,9793
9,A10303S1S,4321
5,A10303S1S,223
11,A10303S1S,1649
16,A10303S1S,8848
4,A10303S1S,6677
13,A10303S1S,2018
17,A10303S1S,3424
1,A10303S1S,866
15,A10303S1S,7556
8,A10303S1S,831
18,A10303S1S,9955
6,A10303S1S,9878
14,A10303S1S,7895
7,A10303S1S,3972
19,A10303S1S,7374
3,A10303S1S,4322
10,A10303S1S,8768
2,A10303S1S,4294
,A10304S1S,97872
15,A10304S1S,7292
1,A10304S1S,3258
4,A10304S1S,5529
13,A10304S1S,1263
17,A10304S1S,6799
9,A10304S1S,7359
5,A10304S1S,5776
16,A10304S1S,9774
11,A10304S1S,4192
12,A10304S1S,3830
3,A10304S1S,4361
10,A10304S1S,5300
2,A10304S1S,2198
14,A10304S1S,4359
7,A10304S1S,8510
19,A10304S1S,5486
18,A10304S1S,5730
6,A10304S1S,1432
8,A10304S1S,5424
,A10309S1S,66442
4,A10309S1S,6207
13,A10309S1S,1498
17,A10309S1S,1019
15,A10309S1S,1896
1,A10309S1S,4424
12,A10309S1S,4692
9,A10309S1S,7782
5,A10309S1S,3115
11,A10309S1S,1863
16,A10309S1S,2399
14,A10309S1S,1619
7,A10309S1S,1563
19,A10309S1S,9533
6,A10309S1S,3192
18,A10309S1S,4446
3,A10309S1S,4237
10,A10309S1S,2350
2,A10309S1S,1946
8,A10309S1S,2661
,A10310C1C,60057
3,A10310C1C,2751
10,A10310C1C,1965
2,A10310C1C,5764
14,A10310C1C,3667
7,A10310C1C,3951
19,A10310C1C,685
6,A10310C1C,228
18,A10310C1C,1511
8,A10310C1C,1452
15,A10310C1C,1729
1,A10310C1C,2898
4,A10310C1C,1126
13,A10310C1C,7637
17,A10310C1C,5168
9,A10310C1C,8472
5,A10310C1C,607
16,A10310C1C,2060
11,A10310C1C,2648
12,A10310C1C,5738
,A10311C1C,82464
9,A10311C1C,593
16,A10311C1C,4595
11,A10311C1C,6114
5,A10311C1C,5343
12,A10311C1C,536
15,A10311C1C,1361
1,A10311C1C,6622
13,A10311C1C,3446
17,A10311C1C,5533
4,A10311C1C,6744
8,A10311C1C,796
2,A10311C1C,2388
3,A10311C1C,7498
10,A10311C1C,9786
19,A10311C1C,6506
7,A10311C1C,3718
14,A10311C1C,5108
18,A10311C1C,2268
6,A10311C1C,3509
,A10313S1S,114423
14,A10313S1S,9172
19,A10313S1S,5219
7,A10313S1S,9299
18,A10313S1S,7948
6,A10313S1S,3536
10,A10313S1S,5429
3,A10313S1S,2760
2,A10313S1S,6714
8,A10313S1S,2175
4,A10313S1S,1824
17,A10313S1S,8336
13,A10313S1S,6135
15,A10313S1S,4808
1,A10313S1S,7746
12,A10313S1S,5318
16,A10313S1S,6042
11,A10313S1S,3691
5,A10313S1S,8801
9,A10313S1S,9470
,A10315S1S,83736
2,A10315S1S,8124
3,A10315S1S,1526
10,A10315S1S,4421
7,A10315S1S,2502
19,A10315S1S,9754
14,A10315S1S,8212
18,A10315S1S,4547
6,A10315S1S,2266
8,A10315S1S,9458
15,A10315S1S,8784
1,A10315S1S,1345
13,A10315S1S,2518
17,A10315S1S,3026
4,A10315S1S,3454
9,A10315S1S,4983
5,A10315S1S,3540
16,A10315S1S,2352
11,A10315S1S,964
12,A10315S1S,1960
,A10317S1S,101310
8,A10317S1S,9842
2,A10317S1S,6761
10,A10317S1S,1426
3,A10317S1S,6565
6,A10317S1S,7897
18,A10317S1S,9270
7,A10317S1S,2459
19,A10317S1S,3324
14,A10317S1S,4152
5,A10317S1S,4344
11,A10317S1S,9450
16,A10317S1S,4338
9,A10317S1S,8516
12,A10317S1S,3418
1,A10317S1S,1561
15,A10317S1S,7260
17,A10317S1S,3013
13,A10317S1S,2385
4,A10317S1S,5329
,A10403S1S,115960
12,A10403S1S,6903
16,A10403S1S,9248
11,A10403S1S,8040
5,A10403S1S,3429
9,A10403S1S,8197
17,A10403S1S,5041
13,A10403S1S,8373
4,A10403S1S,5207
1,A10403S1S,3598
15,A10403S1S,887
8,A10403S1S,274
18,A10403S1S,7068
6,A10403S1S,5687
19,A10403S1S,6591
7,A10403S1S,9965
14,A10403S1S,7619
2,A10403S1S,9158
10,A10403S1S,5778
3,A10403S1S,4897
,A10501S1S,78280
13,A10501S1S,6974
17,A10501S1S,4479
4,A10501S1S,8292
15,A10501S1S,5253
1,A10501S1S,2346
12,A10501S1S,6589
9,A10501S1S,586
5,A10501S1S,2666
16,A10501S1S,5635
11,A10501S1S,5107
7,A10501S1S,4414
19,A10501S1S,1786
14,A10501S1S,5960
18,A10501S1S,1808
6,A10501S1S,989
2,A10501S1S,1908
3,A10501S1S,420
10,A10501S1S,9162
8,A10501S1S,3906
,A10504S1S,106121
6,A10504S1S,6886
18,A10504S1S,4557
14,A10504S1S,3730
19,A10504S1S,643
7,A10504S1S,8223
3,A10504S1S,9880
10,A10504S1S,8783
2,A10504S1S,7657
8,A10504S1S,2975
4,A10504S1S,9607
13,A10504S1S,3402
17,A10504S1S,3209
1,A10504S1S,3287
15,A10504S1S,3739
12,A10504S1S,7886
9,A10504S1S,4408
11,A10504S1S,4889
16,A10504S1S,6111
5,A10504S1S,6249
,A10505C1C,108289
10,A10505C1C,6373
3,A10505C1C,6272
2,A10505C1C,8948
14,A10505C1C,9132
19,A10505C1C,9569
7,A10505C1C,9995
18,A10505C1C,6052
6,A10505C1C,1680
8,A10505C1C,2149
15,A10505C1C,4275
1,A10505C1C,7070
4,A10505C1C,3053
17,A10505C1C,8638
13,A10505C1C,352
11,A10505C1C,8746
16,A10505C1C,4749
5,A10505C1C,3756
9,A10505C1C,2816
12,A10505C1C,4664
,A10505C2C,98466
13,A10505C2C,1418
17,A10505C2C,7790
4,A10505C2C,6477
15,A10505C2C,7387
1,A10505C2C,4212
12,A10505C2C,5613
9,A10505C2C,6009
11,A10505C2C,5230
16,A10505C2C,6792
5,A10505C2C,935
19,A10505C2C,3837
7,A10505C2C,7058
14,A10505C2C,2882
18,A10505C2C,20
6,A10505C2C,1522
2,A10505C2C,4733
3,A10505C2C,7752
10,A10505C2C,8863
8,A10505C2C,9936
,A10505S1S,118753
8,A10505S1S,3330
18,A10505S1S,7345
6,A10505S1S,1639
14,A10505S1S,8861
7,A10505S1S,7922
19,A10505S1S,5115
10,A10505S1S,2304
3,A10505S1S,9470
2,A10505S1S,8502
12,A10505S1S,9991
5,A10505S1S,6361
16,A10505S1S,7282
11,A10505S1S,2725
9,A10505S1S,7439
4,A10505S1S,4692
17,A10505S1S,9408
13,A10505S1S,9283
1,A10505S1S,1050
15,A10505S1S,6034
,A10505S2S,80775
8,A10505S2S,6902
2,A10505S2S,7472
3,A10505S2S,3442
10,A10505S2S,4300
6,A10505S2S,3026
18,A10505S2S,1329
19,A10505S2S,1797
7,A10505S2S,3784
14,A10505S2S,4782
9,A10505S2S,6611
16,A10505S2S,1260
11,A10505S2S,958
5,A10505S2S,5275
12,A10505S2S,8079
1,A10505S2S,9469
15,A10505S2S,3565
13,A10505S2S,5687
17,A10505S2S,2718
4,A10505S2S,319
,A10507S1S,98792
1,A10507S1S,3480
15,A10507S1S,2590
4,A10507S1S,6817
17,A10507S1S,9346
13,A10507S1S,2421
16,A10507S1S,2449
11,A10507S1S,6400
5,A10507S1S,5213
9,A10507S1S,7251
12,A10507S1S,5179
10,A10507S1S,2564
3,A10507S1S,5628
2,A10507S1S,1747
6,A10507S1S,8839
18,A10507S1S,8811
14,A10507S1S,3211
19,A10507S1S,2674
7,A10507S1S,7286
8,A10507S1S,6886
,A10508S1S,108801
16,A10508S1S,3293
11,A10508S1S,9307
5,A10508S1S,9605
9,A10508S1S,8466
12,A10508S1S,5771
15,A10508S1S,7077
1,A10508S1S,9189
4,A10508S1S,2610
17,A10508S1S,8644
13,A10508S1S,844
8,A10508S1S,1206
10,A10508S1S,5174
3,A10508S1S,6924
2,A10508S1S,8216
14,A10508S1S,3728
19,A10508S1S,3235
7,A10508S1S,4719
6,A10508S1S,9422
18,A10508S1S,1371
,A10511S1S,107574
13,A10511S1S,8961
17,A10511S1S,2540
4,A10511S1S,9043
1,A10511S1S,8401
15,A10511S1S,8970
12,A10511S1S,1895
9,A10511S1S,9795
5,A10511S1S,3916
16,A10511S1S,8819
11,A10511S1S,5493
18,A10511S1S,82
6,A10511S1S,1511
7,A10511S1S,4346
19,A10511S1S,9385
14,A10511S1S,8115
2,A10511S1S,1831
3,A10511S1S,2846
10,A10511S1S,6978
8,A10511S1S,4647
,A10512S1S,87519
12,A10512S1S,1022
9,A10512S1S,5931
5,A10512S1S,4181
16,A10512S1S,7991
11,A10512S1S,9568
4,A10512S1S,4726
13,A10512S1S,1812
17,A10512S1S,8748
1,A10512S1S,4133
15,A10512S1S,3422
8,A10512S1S,6288
18,A10512S1S,962
6,A10512S1S,2976
14,A10512S1S,7905
7,A10512S1S,9610
19,A10512S1S,1323
3,A10512S1S,345
10,A10512S1S,899
2,A10512S1S,5677
,A10513C1C,98294
18,A10513C1C,8682
6,A10513C1C,1990
14,A10513C1C,2624
19,A10513C1C,5163
7,A10513C1C,1591
10,A10513C1C,3021
3,A10513C1C,1199
2,A10513C1C,8205
8,A10513C1C,7497
4,A10513C1C,8170
17,A10513C1C,7961
13,A10513C1C,8560
1,A10513C1C,6613
15,A10513C1C,4317
12,A10513C1C,9364
16,A10513C1C,1320
11,A10513C1C,8292
5,A10513C1C,689
9,A10513C1C,3036
,A10513C2C,90553
15,A10513C2C,1792
1,A10513C2C,4507
4,A10513C2C,9342
17,A10513C2C,58
13,A10513C2C,7546
11,A10513C2C,7199
16,A10513C2C,2723
5,A10513C2C,9268
9,A10513C2C,6641
12,A10513C2C,5110
10,A10513C2C,5017
3,A10513C2C,2528
2,A10513C2C,1671
14,A10513C2C,3061
19,A10513C2C,2444
7,A10513C2C,7767
18,A10513C2C,6211
6,A10513C2C,2764
8,A10513C2C,4904
,A10513S1S,90685
14,A10513S1S,4288
19,A10513S1S,8718
7,A10513S1S,9168
18,A10513S1S,3076
6,A10513S1S,564
3,A10513S1S,1665
10,A10513S1S,9712
2,A10513S1S,3308
8,A10513S1S,676
4,A10513S1S,4078
13,A10513S1S,4479
17,A10513S1S,9440
15,A10513S1S,5183
1,A10513S1S,7277
12,A10513S1S,951
