typaccom,location,count
5,A10505C1C,4355
4,A10505C1C,924
1,A10505C1C,1483
,A10505C1C,37128
4,A10505C2C,3417
1,A10505C2C,2042
5,A10505C2C,7121
6,A10505C2C,2734
2,A10505C2C,5312
7,A10505C2C,8115
3,A10505C2C,7839
,A10505C2C,36580
3,A10505S1S,8841
7,A10505S1S,7843
6,A10505S1S,1546
2,A10505S1S,6735
1,A10505S1S,9799
4,A10505S1S,7976
5,A10505S1S,9515
,A10505S1S,52255
7,A10505S2S,3875
2,A10505S2S,7978
6,A10505S2S,9233
5,A10505S2S,185
1,A10505S2S,4577
4,A10505S2S,6376
,A10505S2S,32224
5,A10507S1S,633
1,A10507S1S,635
4,A10507S1S,4701
2,A10507S1S,45
6,A10507S1S,1221
3,A10507S1S,3139
7,A10507S1S,6837
,A10507S1S,17211
5,A10508S1S,3260
4,A10508S1S,6777
1,A10508S1S,6864
3,A10508S1S,3936
2,A10508S1S,7008
6,A10508S1S,5156
,A10508S1S,33001
1,A10511S1S,6099
4,A10511S1S,7805
5,A10511S1S,4906
6,A10511S1S,4245
2,A10511S1S,7345
3,A10511S1S,808
7,A10511S1S,7288
,A10511S1S,38496
1,A10512S1S,2880
4,A10512S1S,2386
5,A10512S1S,7096
3,A10512S1S,9213
7,A10512S1S,8834
6,A10512S1S,418
,A10512S1S,30827
6,A10513C1C,9159
2,A10513C1C,2557
3,A10513C1C,3868
7,A10513C1C,3468
1,A10513C1C,2019
4,A10513C1C,1652
5,A10513C1C,8182
,A10513C1C,30905
5,A10513C2C,8183
4,A10513C2C,7537
1,A10513C2C,3229
2,A10513C2C,9047
6,A10513C2C,355
7,A10513C2C,9296
3,A10513C2C,9137
,A10513C2C,46784
6,A10513S1S,3422
2,A10513S1S,5600
7,A10513S1S,1713
4,A10513S1S,5036
1,A10513S1S,4854
5,A10513S1S,4248
,A10513S1S,24873
6,A10514C1C,5395
2,A10514C1C,7325
3,A10514C1C,754
1,A10514C1C,7023
4,A10514C1C,1223
5,A10514C1C,2977
,A10514C1C,24697
6,A10514C2C,6915
2,A10514C2C,5823
3,A10514C2C,1545
7,A10514C2C,9028
1,A10514C2C,4294
4,A10514C2C,7377
5,A10514C2C,1825
,A10514C2C,36807
4,A10514C3C,5948
6,A10514C3C,5288
2,A10514C3C,4637
7,A10514C3C,7434
3,A10514C3C,1379
,A10514C3C,24686
4,A10514C4C,964
1,A10514C4C,5379
5,A10514C4C,873
7,A10514C4C,7613
6,A10514C4C,5221
2,A10514C4C,8390
,A10514C4C,28440
1,A10514S1S,6100
4,A10514S1S,2480
5,A10514S1S,3752
6,A10514S1S,1912
2,A10514S1S,8299
3,A10514S1S,6959
7,A10514S1S,2339
,A10514S1S,31841
1,A10514S2S,2695
5,A10514S2S,6479
3,A10514S2S,8864
7,A10514S2S,8999
6,A10514S2S,7966
2,A10514S2S,6553
,A10514S2S,41556
6,A10516S1S,460
7,A10516S1S,6376
3,A10516S1S,9571
5,A10516S1S,5419
4,A10516S1S,4062
1,A10516S1S,6714
,A10516S1S,32602
4,A10517S1S,1053
1,A10517S1S,9661
5,A10517S1S,1177
7,A10517S1S,1841
3,A10517S1S,5885
6,A10517S1S,6756
2,A10517S1S,9225
,A10517S1S,35598
4,A10519C1C,7653
1,A10519C1C,335
3,A10519C1C,2590
2,A10519C1C,4941
6,A10519C1C,7484
,A10519C1C,23003
6,A10519S1S,1853
2,A10519S1S,7678
7,A10519S1S,479
4,A10519S1S,6340
1,A10519S1S,2957
5,A10519S1S,1611
,A10519S1S,20918
4,B11107S1S,6235
1,B11107S1S,9725
5,B11107S1S,8907
6,B11107S1S,3782
2,B11107S1S,8498
3,B11107S1S,947
,B11107S1S,38094
5,D10108S2S,5849
1,D10108S2S,3387
4,D10108S2S,144
2,D10108S2S,3564
6,D10108S2S,7272
3,D10108S2S,8078
7,D10108S2S,3109
,D10108S2S,31403
5,D10109S1S,4840
4,D10109S1S,6205
1,D10109S1S,3434
7,D10109S1S,8208
3,D10109S1S,4388
2,D10109S1S,1097
6,D10109S1S,8995
,D10109S1S,37167
7,D10109S2S,7493
3,D10109S2S,5857
2,D10109S2S,3096
6,D10109S2S,4313
5,D10109S2S,6198
4,D10109S2S,3964
1,D10109S2S,503
,D10109S2S,31424
1,E06000001,3688
4,E06000001,9655
5,E06000001,8297
3,E06000001,8401
7,E06000001,4242
6,E06000001,2508
2,E06000001,9721
,E06000001,46512
5,E06000002,9709
1,E06000002,7785
4,E06000002,8118
2,E06000002,4808
6,E06000002,531
3,E06000002,4825
7,E06000002,1742
,E06000002,37518
4,E06000003,9142
1,E06000003,8085
5,E06000003,8593
2,E06000003,6696
3,E06000003,4325
,E06000003,36841
5,E06000004,5069
1,E06000004,4840
4,E06000004,7255
3,E06000004,2984
7,E06000004,2881
2,E06000004,7386
6,E06000004,5961
,E06000004,36376
5,E06000005,13
3,E06000005,1738
7,E06000005,8407
6,E06000005,7506
,E06000005,17664
1,E06000047,3566
4,E06000047,4636
5,E06000047,5266
3,E06000047,8529
7,E06000047,5980
6,E06000047,5424
2,E06000047,5148
,E06000047,38549
4,E06000048,7286
1,E06000048,9676
5,E06000048,1245
7,E06000048,6756
3,E06000048,4574
6,E06000048,1447
2,E06000048,5647
,E06000048,36631
6,E08000020,3739
2,E08000020,940
4,E08000020,7172
1,E08000020,1070
5,E08000020,1180
,E08000020,14101
5,E08000021,5530
1,E08000021,2371
4,E08000021,3375
3,E08000021,8773
7,E08000021,7380
2,E08000021,7056
6,E08000021,6323
,E08000021,40808
7,E08000022,9468
6,E08000022,5763
2,E08000022,9688
4,E08000022,4665
1,E08000022,9661
5,E08000022,8443
,E08000022,47688
4,E08000023,2936
1,E08000023,2349
5,E08000023,8703
7,E08000023,4631
3,E08000023,8739
6,E08000023,8133
2,E08000023,5319
,E08000023,40810
2,E08000024,7979
6,E08000024,1876
7,E08000024,815
3,E08000024,1718
5,E08000024,9592
4,E08000024,7662
1,E08000024,5476
,E08000024,35118
2,E12000001,3570
6,E12000001,5585
7,E12000001,6560
3,E12000001,667
4,E12000001,861
1,E12000001,5388
,E12000001,22631
3,G11210S1S,4494
2,G11210S1S,2920
6,G11210S1S,1814
5,G11210S1S,3055
1,G11210S1S,8631
4,G11210S1S,3525
,G11210S1S,24439
5,X99999X1X,7775
1,X99999X1X,8760
4,X99999X1X,7151
3,X99999X1X,9924
7,X99999X1X,2104
2,X99999X1X,3717
6,X99999X1X,9757
,X99999X1X,49188
,E06000048,22631
6,E06000048,5585
4,E06000048,861
3,E06000048,667
1,E06000048,5388
7,E06000048,6560
2,E06000048,3570
,E12000001,2818732
7,E12000001,374098
1,E12000001,388456
3,E12000001,413079
6,E12000001,395878
4,E12000001,418506
2,E12000001,425173
5,E12000001,403542
,921,2841363
2,921,428743
5,921,403542
6,921,401463
4,921,419367
3,921,413746
7,921,380658
1,921,393844
,,2841363
3,,413746
7,,380658
1,,393844
2,,428743
6,,401463
4,,419367
5,,403542
