ppbroomhuk11,location,count
4,E06000048,4518
3,E06000048,1566
2,E06000048,1704
,E06000048,11787
3,E08000020,2134
2,E08000020,6628
X,E08000020,2947
4,E08000020,8040
1,E08000020,4129
,E08000020,23878
X,E08000021,306
1,E08000021,3153
4,E08000021,2788
3,E08000021,9877
2,E08000021,5621
,E08000021,21745
3,E08000022,932
2,E08000022,3459
X,E08000022,2409
4,E08000022,8531
,E08000022,15331
X,E08000023,9530
4,E08000023,5822
2,E08000023,5604
,E08000023,20956
2,E08000024,4332
3,E08000024,5223
1,E08000024,953
X,E08000024,374
,E08000024,10882
3,E12000001,7553
4,E12000001,7305
1,E12000001,6859
X,E12000001,4557
,E12000001,26274
3,G11210S1S,7108
2,G11210S1S,335
X,G11210S1S,9341
1,G11210S1S,7951
4,G11210S1S,8456
,G11210S1S,33191
X,X99999X1X,6435
1,X99999X1X,4895
4,X99999X1X,8504
3,X99999X1X,3585
2,X99999X1X,331
,X99999X1X,23750
,E06000048,26274
4,E06000048,7305
3,E06000048,7553
1,E06000048,6859
X,E06000048,4557
,E12000001,1937735
1,E12000001,346064
3,E12000001,383337
4,E12000001,371423
X,E12000001,449729
2,E12000001,387182
,921,1964009
X,921,454286
2,921,387182
4,921,378728
3,921,390890
1,921,352923
,,1964009
3,,390890
1,,352923
X,,454286
2,,387182
4,,378728
